State,Institution,Type of Discrimination,Investigation Open Date
Missouri,OZARK TECHNICAL COMMUNITY COLLEGE - SPRINGFIELD,Title VI - Denial of Benefits,2022-12-12
Missouri,OZARK TECHNICAL COMMUNITY COLLEGE - SPRINGFIELD,Title VI - Denial of Benefits,2023-03-23
Missouri,OZARK TECHNICAL COMMUNITY COLLEGE - SPRINGFIELD,Title VI - Racial Harassment,2022-12-12
Missouri,OZARK TECHNICAL COMMUNITY COLLEGE - SPRINGFIELD,Title VI - Retaliation,2022-12-12
Missouri,OZARK TECHNICAL COMMUNITY COLLEGE - SPRINGFIELD,Title VI - Retaliation,2023-03-23
Missouri,MISSOURI STATE UNIV. - GREENWOOD LABORATORY SCHOOL,Disability - Disability Harassment,2022-07-11
Missouri,MISSOURI STATE UNIV. - GREENWOOD LABORATORY SCHOOL,Disability - FAPE,2022-07-11
Missouri,OZARK TECHNICAL COMMUNITY COLLEGE - SPRINGFIELD,Title IX - Denial of Benefits,2023-03-23
Missouri,OZARKS TECHNICAL COMMUNITY COLLEGE,Disability - Academic Adjustments,2022-12-13
Missouri,OZARKS TECHNICAL COMMUNITY COLLEGE,Disability - Retaliation,2022-12-13
Missouri,MISSOURI SOUTHERN STATE UNIVERSITY,Disability - Disability Harassment,2016-04-08
Missouri,PARK UNIVERSITY,Disability - Accessibility - Website/Online Courses,2023-11-21
Missouri,SAINT LOUIS UNIVERSITY,Title IX - Gender Harassment,2018-04-23
Missouri,SAINT LOUIS UNIVERSITY,Title IX - Retaliation,2018-04-23
Missouri,SAINT LOUIS UNIVERSITY,Title IX - Single Sex Scholarships,2020-09-10
Missouri,SOUTHEAST MISSOURI STATE UNIVERSITY,Disability - Accessibility,2020-07-28
Missouri,ST. LOUIS COMMUNITY COLLEGE,Age - Retaliation,2017-12-11
Missouri,ST. LOUIS COMMUNITY COLLEGE,Disability - Academic Adjustments,2017-12-11
Missouri,ST. LOUIS COMMUNITY COLLEGE,Disability - Denial of Benefits,2017-12-11
Missouri,ST. LOUIS COMMUNITY COLLEGE,Disability - Denial of Benefits,2023-01-04
Missouri,ST. LOUIS COMMUNITY COLLEGE-FOREST PARK,Disability - Academic Adjustments,2021-04-08
Missouri,TRUMAN STATE UNIVERSITY,Disability - Others,2019-11-26
Missouri,WASHINGTON UNIVERSITY IN ST. LOUIS,Title IX - Single Sex Scholarships,2021-12-28
Missouri,UNIVERSITY OF MISSOURI-ST. LOUIS,Title IX - Retaliation,2017-01-24
Missouri,UNIVERSITY OF MISSOURI-ST. LOUIS,Title IX - Sexual Harassment,2017-01-24
Missouri,WASHINGTON UNIVERSITY IN ST. LOUIS,Title VI - Others,2023-05-16
Missouri,WASHINGTON UNIVERSITY IN ST. LOUIS,Title IX - Sexual Violence,2017-07-10
Missouri,WASHINGTON UNIVERSITY IN ST. LOUIS,Title IX - Single Sex Campus Programs,2021-12-28
Missouri,UNIVERSITY OF MISSOURI- SCHOOL OF MEDICINE,Title VI - Others,2023-01-24
Missouri,UNIVERSITY OF MISSOURI-COLUMBIA,Disability - Academic Adjustments,2023-03-10
Missouri,UNIVERSITY OF MISSOURI-COLUMBIA,Disability - Accessibility,2023-03-10
Missouri,UNIVERSITY OF MISSOURI-COLUMBIA,Disability - Denial of Benefits,2023-03-10
Missouri,UNIVERSITY OF MISSOURI-COLUMBIA,Disability - Denial of Benefits,2023-11-30
Missouri,UNIVERSITY OF MISSOURI-KANSAS CITY,Title VI - Others,2022-09-28
Missouri,UNIVERSITY OF MISSOURI-KANSAS CITY,Title VI - Racial Harassment,2022-09-28
Missouri,UNIVERSITY OF MISSOURI-KANSAS CITY,Title VI - Retaliation,2022-09-28
Missouri,UNIVERSITY OF MISSOURI-KANSAS CITY,Title IX - Sexual Harassment,2022-09-28
Missouri,UNIVERSITY OF MISSOURI-KANSAS CITY,Title IX - Single Sex Scholarships,2020-06-08
Missouri,UNIVERSITY OF MISSOURI-ST. LOUIS,Disability - Academic Adjustments,2019-01-09
Missouri,UNIVERSITY OF MISSOURI-ST. LOUIS,Title IX - Others,2020-06-08
Missouri,UNIVERSITY OF MISSOURI-COLUMBIA,Disability - Others,2019-11-26
Missouri,UNIVERSITY OF MISSOURI-COLUMBIA,Title IX - Others,2020-06-30
Missouri,UNIVERSITY OF MISSOURI-COLUMBIA,Title IX - Single Sex Scholarships,2023-04-18
Missouri,WEBSTER UNIVERSITY,Age - Discrimination Prohibited,2015-02-03
Missouri,WEBSTER UNIVERSITY,Disability - Retaliation,2015-02-03
Missouri,WEBSTER UNIVERSITY,Title VI - Denial of Benefits,2015-02-03
Missouri,WEBSTER UNIVERSITY,Title IX - Denial of Benefits,2015-02-03
Montana,MONTANA STATE UNIVERSITY-BILLINGS,Title IX - Single Sex Scholarships,2020-04-22
Montana,MONTANA STATE UNIVERSITY-BOZEMAN,Disability - Accessibility,2021-12-30
Montana,MONTANA STATE UNIVERSITY-BOZEMAN,Disability - Accessibility,2024-02-02
Montana,MONTANA STATE UNIVERSITY-BOZEMAN,Disability - Others,2024-02-02
Montana,MONTANA STATE UNIVERSITY-BOZEMAN,Title VI - National Origin Discrimination Involving Religion,2023-12-05
Montana,MONTANA STATE UNIVERSITY-BOZEMAN,Title VI - Racial Harassment,2023-10-10
Montana,MONTANA STATE UNIVERSITY-BOZEMAN,Title IX - Denial of Benefits,2016-02-04
Montana,MONTANA STATE UNIVERSITY-BOZEMAN,Title IX - Gender Harassment,2023-12-05
Montana,MONTANA STATE UNIVERSITY-BOZEMAN,Title IX - Retaliation,2016-02-04
Montana,MONTANA STATE UNIVERSITY-BOZEMAN,Title IX - Sexual Harassment,2024-01-25
Montana,MONTANA STATE UNIVERSITY-BOZEMAN,Title IX - Sexual Violence,2023-10-10
Montana,SALISH KOOTENAI COLLEGE,Disability - Academic Adjustments,2017-02-09
Montana,UNIVERSITY OF MONTANA,Age - Discrimination Prohibited,2022-08-16
Montana,UNIVERSITY OF MONTANA,Title VI - Others,2023-06-27
Montana,UNIVERSITY OF MONTANA,Title IX - Athletics,2020-11-20
Nebraska,HASTINGS COLLEGE,Title VI - Others,2022-07-27
Nebraska,HASTINGS COLLEGE,Title IX - Single Sex Scholarships,2022-07-27
Nebraska,DOANE UNIVERSITY,Disability - Denial of Benefits,2022-09-09
Nebraska,DOANE UNIVERSITY,Disability - Procedural Requirements,2022-09-09
Nebraska,CHADRON STATE COLLEGE,Title IX - Single Sex Scholarships,2024-02-05
Nebraska,CREIGHTON UNIVERSITY,Title IX - Others,2023-04-17
Nebraska,CENTRAL COMMUNITY COLLEGE,Title IX - Others,2020-06-08
Nebraska,MID-PLAINS COMMUNITY COLLEGES,Title IX - Single Sex Campus Programs,2024-02-08
Nebraska,MID-PLAINS COMMUNITY COLLEGES,Title IX - Single Sex Scholarships,2024-02-08
Nebraska,METROPOLITAN COMMUNITY COLLEGE - OMAHA,Title IX - Single Sex Scholarships,2020-06-11
Nebraska,MID-PLAINS COMMUNITY COLLEGES,Title VI - Discipline,2023-05-24
Nebraska,MID-PLAINS COMMUNITY COLLEGES,Title VI - Racial Harassment,2023-05-24
Nebraska,METROPOLITAN COMMUNITY COLLEGE - OMAHA,Title IX - Denial of Benefits,2020-06-11
Nebraska,UNIVERSITY OF NEBRASKA AT KEARNEY,Disability - Others,2019-11-26
Nebraska,UNIVERSITY OF NEBRASKA AT OMAHA,Disability - Academic Adjustments,2018-01-30
Nebraska,UNIVERSITY OF NEBRASKA AT OMAHA,Disability - Academic Adjustments,2018-06-04
Nebraska,UNIVERSITY OF NEBRASKA AT OMAHA,Disability - Academic Adjustments,2021-10-14
Nebraska,SOUTHEAST COMMUNITY COLLEGE,Disability - Effective Communication,2020-04-30
Nebraska,SOUTHEAST COMMUNITY COLLEGE,Age - Discrimination Prohibited,2023-12-14
Nebraska,UNIVERSITY OF NEBRASKA AT OMAHA,Title IX - Others,2020-06-08
Nebraska,UNIVERSITY OF NEBRASKA-LINCOLN,Title IX - Single Sex Campus Programs,2020-07-28
Nebraska,UNIVERSITY OF NEBRASKA AT OMAHA,Disability - Accessibility,2018-06-04
Nebraska,UNIVERSITY OF NEBRASKA AT OMAHA,Disability - Accessibility,2021-10-14
Nebraska,UNIVERSITY OF NEBRASKA AT OMAHA,Disability - Retaliation,2018-06-04
Nebraska,UNIVERSITY OF NEBRASKA AT OMAHA,Disability - Retaliation,2021-10-14
North Carolina,ASHEVILLE BUNCOMBE TECHNICAL COMMUNITY COLLEGE,Disability - Academic Adjustments,2023-10-03
North Carolina,CATAWBA VALLEY COMMUNITY COLLEGE,Title VI - Denial of Benefits,2023-09-11
North Carolina,CAPE FEAR COMMUNITY COLLEGE,Title IX - Sexual Harassment,2023-09-13
North Carolina,BRUNSWICK COMMUNITY COLLEGE,Title IX - Sexual Harassment,2023-02-08
North Carolina,CAMPBELL UNIVERSITY,Disability - Academic Adjustments,2023-03-28
North Carolina,CAMPBELL UNIVERSITY,Disability - Denial of Benefits,2020-02-14
North Carolina,CAMPBELL UNIVERSITY,Disability - Retaliation,2020-02-14
North Carolina,CAMPBELL UNIVERSITY,Disability - Retaliation,2023-03-28
North Carolina,CAMPBELL UNIVERSITY,Title IX - Others,2023-03-28
North Carolina,CAMPBELL UNIVERSITY,Title IX - Retaliation,2023-03-28
North Carolina,COASTAL CAROLINA COMMUNITY COLLEGE,Title VI - Retaliation,2017-11-03
North Carolina,DAVIDSON COUNTY COMMUNITY COLLEGE,Disability - Disability Harassment,2023-06-02
North Carolina,DUKE UNIVERSITY,Age - Discrimination Prohibited,2015-11-09
North Carolina,DUKE UNIVERSITY,Disability - Disability Harassment,2022-09-21
North Carolina,DUKE UNIVERSITY,Disability - Retaliation,2015-11-09
North Carolina,DUKE UNIVERSITY,Disability - Retaliation,2015-12-02
North Carolina,DUKE UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,2022-04-18
North Carolina,DUKE UNIVERSITY,Disability - Denial of Benefits,2015-11-09
North Carolina,DUKE UNIVERSITY,Disability - Denial of Benefits,2022-09-21
North Carolina,DUKE UNIVERSITY,Disability - Disability Harassment,2015-11-09
North Carolina,DUKE UNIVERSITY,Title VI - Racial Harassment,2022-04-18
North Carolina,DUKE UNIVERSITY,Title IX - Gender Harassment,2015-11-09
North Carolina,DUKE UNIVERSITY,Disability - Academic Adjustments,2015-11-09
North Carolina,DURHAM TECHNICAL COMMUNITY COLLEGE,Title IX - Sexual Harassment,2020-07-20
North Carolina,EAST CAROLINA UNIVERSITY,Title VI - Denial of Benefits,2021-01-11
North Carolina,FAYETTEVILLE STATE UNIVERSITY,Title IX - Procedural Requirements,2020-08-12
North Carolina,FAYETTEVILLE STATE UNIVERSITY,Title IX - Retaliation,2020-08-12
North Carolina,DURHAM TECHNICAL COMMUNITY COLLEGE,Disability - Academic Adjustments,2024-02-08
North Carolina,ELON UNIVERSITY,Title IX - Sexual Violence,2021-11-17
North Carolina,DUKE UNIVERSITY,Title IX - Single Sex Campus Programs,2023-10-10
North Carolina,GUILFORD TECHNICAL COMMUNITY COLLEGE,Title VI - Denial of Benefits,2024-01-29
North Carolina,GUILFORD TECHNICAL COMMUNITY COLLEGE,Title VI - Retaliation,2024-01-29
North Carolina,GUILFORD TECHNICAL COMMUNITY COLLEGE,Title IX - Procedural Requirements,2019-11-15
North Carolina,GUILFORD TECHNICAL COMMUNITY COLLEGE,Title VI - Denial of Benefits,2021-04-19
North Carolina,GUILFORD TECHNICAL COMMUNITY COLLEGE,Title IX - Retaliation,2019-11-15
North Carolina,JOHNSTON COMMUNITY COLLEGE,Title VI - Retaliation,2019-05-21
North Carolina,LENOIR-RHYNE UNIVERSITY,Title IX - Retaliation,2022-09-09
North Carolina,LENOIR-RHYNE UNIVERSITY,Title IX - Sexual Violence,2022-09-09
North Carolina,MITCHELL COMMUNITY COLLEGE,Title VI - Denial of Benefits,2020-04-01
North Carolina,LIVINGSTONE COLLEGE,Disability - Denial of Benefits,2023-06-06
North Carolina,LIVINGSTONE COLLEGE,Title VI - Denial of Benefits,2023-06-06
North Carolina,LIVINGSTONE COLLEGE,Title IX - Denial of Benefits,2023-06-06
North Carolina,METHODIST UNIVERSITY,Title IX - Others,2023-11-06
North Carolina,METHODIST UNIVERSITY,Title IX - Procedural Requirements,2020-10-27
North Carolina,MILLER-MOTTE COLLEGE,Title IX - Retaliation,2023-11-28
North Carolina,MILLER-MOTTE COLLEGE,Title IX - Sexual Harassment,2023-11-28
North Carolina,MITCHELL COMMUNITY COLLEGE,Title IX - Others,2020-04-01
North Carolina,MITCHELL COMMUNITY COLLEGE,Title IX - Procedural Requirements,2020-04-01
North Carolina,MITCHELL COMMUNITY COLLEGE,Title IX - Gender Harassment,2020-04-01
North Carolina,MITCHELL COMMUNITY COLLEGE,Title VI - Others,2016-08-16
North Carolina,NORTH CAROLINA CENTRAL UNIVERSITY,Title IX - Denial of Benefits,2020-04-29
North Carolina,NORTH CAROLINA CENTRAL UNIVERSITY,Title IX - Others,2020-04-29
North Carolina,NORTH CAROLINA CENTRAL UNIVERSITY,Title IX - Procedural Requirements,2020-04-29
North Carolina,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,Age - Discrimination Prohibited,2024-02-01
North Carolina,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,Disability - Denial of Benefits,2024-02-01
North Carolina,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,Disability - Treatment of Postsecondary Students,2023-08-22
North Carolina,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,Title VI - Denial of Benefits,2020-12-17
North Carolina,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,Title VI - Denial of Benefits,2024-02-01
North Carolina,NORTH CAROLINA AGRICULTURAL AND TECHNICAL ST UNIV,Disability - Academic Adjustments,2024-02-13
North Carolina,NORTH CAROLINA AGRICULTURAL AND TECHNICAL ST UNIV,Title IX - Sexual Violence,2021-04-28
North Carolina,NORTH CAROLINA AGRICULTURAL AND TECHNICAL ST UNIV,Disability - Academic Adjustments,2023-11-29
North Carolina,MITCHELL COMMUNITY COLLEGE,Title IX - Retaliation,2020-04-01
North Carolina,NORTH CAROLINA CENTRAL UNIVERSITY,Disability - Accessibility - Website/Online Courses,2022-08-23
North Carolina,NORTH CAROLINA CENTRAL UNIVERSITY,Title VI - Denial of Benefits,2020-04-29
North Carolina,NORTH CAROLINA CENTRAL UNIVERSITY,Disability - Academic Adjustments,2022-12-15
North Carolina,NORTH CAROLINA CENTRAL UNIVERSITY,Disability - Academic Adjustments,2023-10-25
North Carolina,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,Title IX - Denial of Benefits,2020-12-17
North Carolina,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,Title IX - Single Sex Scholarships,2020-05-05
North Carolina,QUEENS UNIVERSITY OF CHARLOTTE,Title VI - Discipline,2017-05-17
North Carolina,QUEENS UNIVERSITY OF CHARLOTTE,Title VI - Racial Harassment,2017-05-17
North Carolina,QUEENS UNIVERSITY OF CHARLOTTE,Title IX - Denial of Benefits,2017-05-17
North Carolina,QUEENS UNIVERSITY OF CHARLOTTE,Title IX - Retaliation,2017-05-17
North Carolina,SOUTH COLLEGE- ASHEVILLE,Title VI - Racial Harassment,2022-04-15
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Disability - Academic Adjustments,2021-08-10
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Disability - Accessibility,2016-02-01
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Disability - Accessibility,2022-05-16
North Carolina,SOUTH COLLEGE- ASHEVILLE,Disability - Academic Adjustments,2019-08-29
North Carolina,UNIVERSITY OF MOUNT OLIVE,Title IX - Athletics,2024-02-13
North Carolina,UNIVERSITY OF NORTH CAROLINA AT ASHEVILLE,Title VI - Denial of Benefits,2022-03-21
North Carolina,SOUTH COLLEGE- ASHEVILLE,Disability - Denial of Benefits,2019-08-29
North Carolina,SOUTH COLLEGE- ASHEVILLE,Disability - Retaliation,2019-08-29
North Carolina,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,Title IX - Sexual Violence,2023-08-17
North Carolina,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,Title IX - Sexual Violence,2023-12-04
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title VI - Racial Harassment,2023-02-09
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title VI - Retaliation,2021-08-10
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title IX - Athletics,2020-05-27
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title IX - Denial of Benefits,2023-05-12
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title IX - Retaliation,2022-09-26
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,Disability - Accessibility,2016-02-19
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,Title IX - Single Sex Scholarships,2020-08-05
North Carolina,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,Disability - Academic Adjustments,2017-10-24
North Carolina,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,Disability - Academic Adjustments,2021-08-17
North Carolina,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,Disability - Denial of Benefits,2017-10-24
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title VI - National Origin Discrimination Involving Religion,2023-02-09
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title VI - National Origin Discrimination Involving Religion,2023-12-22
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title VI - Others,2023-05-15
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title VI - Racial Harassment,2021-08-10
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title IX - Sexual Harassment,2019-12-03
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title IX - Sexual Violence,2023-10-20
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title IX - Single Sex Campus Programs,2023-06-23
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title VI - Admissions,2023-05-15
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title VI - Denial of Benefits,2023-05-12
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title VI - Denial of Benefits,2023-06-23
North Carolina,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,Disability - Others,2017-10-24
North Carolina,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,Disability - Retaliation,2017-10-24
North Carolina,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,Title VI - Others,2024-02-06
North Carolina,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,Title VI - Retaliation,2024-02-06
North Carolina,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Title IX - Single Sex Scholarships,2022-08-31
North Carolina,WAKE TECHNICAL COMMUNITY COLLEGE,Title VI - Denial of Benefits,2023-01-31
North Carolina,WAKE TECHNICAL COMMUNITY COLLEGE,Title IX - Denial of Benefits,2023-01-31
North Carolina,WAKE TECHNICAL COMMUNITY COLLEGE,Disability - Academic Adjustments,2022-01-05
North Carolina,WAKE TECHNICAL COMMUNITY COLLEGE,Disability - Denial of Benefits,2022-01-05
North Carolina,WAKE TECHNICAL COMMUNITY COLLEGE,Disability - Denial of Benefits,2023-01-31
North Carolina,WAKE TECHNICAL COMMUNITY COLLEGE,Title VI - Denial of Benefits,2022-01-05
North Carolina,WILKES COMMUNITY COLLEGE,Disability - Denial of Benefits,2023-08-07
North Carolina,WILKES COMMUNITY COLLEGE,Disability - Disability Harassment,2023-10-27
North Carolina,WILKES COMMUNITY COLLEGE,Disability - Retaliation,2023-10-27
North Dakota,MINOT STATE UNIVERSITY,Title IX - Single Sex Scholarships,2020-01-29
Nevada,LAS VEGAS COLLEGE,Disability - Procedural Requirements,2023-01-03
Nevada,LAS VEGAS COLLEGE,Disability - Retaliation,2023-01-03
Nevada,UNIVERSITY OF NV-LAS VEGAS,Disability - Academic Adjustments,2022-07-15
Nevada,UNIVERSITY OF NV-LAS VEGAS,Disability - Treatment of Postsecondary Students,2022-07-15
Nevada,LAS VEGAS COLLEGE,Disability - Academic Adjustments,2023-01-03
Nevada,LAS VEGAS COLLEGE,Disability - Denial of Benefits,2023-01-03
Nevada,UNIVERSITY OF NV-LAS VEGAS,Title VI - Denial of Benefits,2024-01-25
New Hampshire,COLBY-SAWYER COLLEGE,Title IX - Single Sex Campus Programs,2023-09-14
New Hampshire,DARTMOUTH COLLEGE,Disability - Denial of Benefits,2017-12-20
New Hampshire,KEENE STATE COLLEGE,Title IX - Single Sex Campus Programs,2024-02-07
New Hampshire,DARTMOUTH COLLEGE,Title VI - Denial of Benefits,2022-12-15
New Hampshire,DARTMOUTH COLLEGE,Disability - Others,2017-12-20
New Hampshire,DARTMOUTH COLLEGE,Disability - Retaliation,2017-12-20
New Hampshire,DARTMOUTH COLLEGE,Disability - Treatment of Postsecondary Students,2017-12-20
New Hampshire,SOUTHERN NEW HAMPSHIRE UNIVERSITY,Disability - Academic Adjustments,2024-01-02
New Hampshire,UNIVERSITY OF NEW HAMPSHIRE-MAIN CAMPUS,Title IX - Single Sex Campus Programs,2020-01-29
New Hampshire,UNIVERSITY OF NEW HAMPSHIRE-MAIN CAMPUS,Title IX - Single Sex Campus Programs,2020-04-28
New Hampshire,UNIVERSITY OF NEW HAMPSHIRE-MAIN CAMPUS,Title IX - Single Sex Campus Programs,2019-11-27
New Hampshire,UNIVERSITY OF NEW HAMPSHIRE-MAIN CAMPUS,Title VI - Denial of Benefits,2023-12-14
New Jersey,HACKENSACK MERIDIAN SCHOOL OF MEDICINE,Age - Discrimination Prohibited,2022-07-06
New Jersey,HACKENSACK MERIDIAN SCHOOL OF MEDICINE,Disability - Academic Adjustments,2022-07-06
New Jersey,HACKENSACK MERIDIAN SCHOOL OF MEDICINE,Title VI - Denial of Benefits,2022-07-06
New Jersey,FELICIAN UNIVERSITY,Disability - Academic Adjustments,2023-03-30
New Jersey,JOE KUBERT SCHOOL OF CARTOON AND GRAPHIC ART,Disability - Academic Adjustments,2016-04-21
New Jersey,HACKENSACK MERIDIAN SCHOOL OF MEDICINE,Title VI - Retaliation,2022-07-06
New Jersey,JOE KUBERT SCHOOL OF CARTOON AND GRAPHIC ART,Title IX - Retaliation,2016-04-21
New Jersey,JOE KUBERT SCHOOL OF CARTOON AND GRAPHIC ART,Title IX - Sexual Harassment,2016-04-21
New Jersey,JOE KUBERT SCHOOL OF CARTOON AND GRAPHIC ART,Title IX - Gender Harassment,2016-04-21
New Jersey,MERCER COUNTY COMMUNITY COLLEGE,Title IX - Denial of Benefits,2022-01-06
New Jersey,MERCER COUNTY COMMUNITY COLLEGE,Title VI - Denial of Benefits,2022-01-06
New Jersey,NEW JERSEY CITY UNIVERSITY,Title VI - Racial Harassment,2024-02-01
New Jersey,NEW JERSEY CITY UNIVERSITY,Title IX - Sexual Harassment,2024-02-01
New Jersey,NEW JERSEY INSTITUTE OF TECHNOLOGY,Title IX - Sexual Violence,2022-06-10
New Jersey,NEW JERSEY INSTITUTE OF TECHNOLOGY,Title IX - Single Sex Campus Programs,2020-03-04
New Jersey,PRINCETON UNIVERSITY,Title VI - Racial Harassment,2016-08-11
New Jersey,PRINCETON UNIVERSITY,Title IX - Gender Harassment,2015-07-28
New Jersey,PRINCETON UNIVERSITY,Title IX - Retaliation,2015-07-28
New Jersey,PRINCETON UNIVERSITY,Title IX - Retaliation,2016-08-11
New Jersey,PRINCETON UNIVERSITY,Title IX - Sexual Harassment,2016-08-11
New Jersey,PRINCETON UNIVERSITY,Title IX - Sexual Violence,2016-08-11
New Jersey,RARITAN VALLEY COMMUNITY COLLEGE,Disability - Academic Adjustments,2023-05-24
New Jersey,RARITAN VALLEY COMMUNITY COLLEGE,Disability - Denial of Benefits,2023-05-24
New Jersey,RARITAN VALLEY COMMUNITY COLLEGE,Disability - Retaliation,2023-05-24
New Jersey,RUTGERS UNIVERSITY - NEW BRUNSWICK,Age - Discrimination Prohibited,2023-03-14
New Jersey,RUTGERS UNIVERSITY - NEW BRUNSWICK,Disability - Academic Adjustments,2022-08-30
New Jersey,RUTGERS UNIVERSITY - NEW BRUNSWICK,Title VI - Denial of Benefits,2022-08-30
New Jersey,RUTGERS UNIVERSITY - NEW BRUNSWICK,Title VI - Denial of Benefits,2023-03-14
New Jersey,RUTGERS UNIVERSITY - NEW BRUNSWICK,Title VI - National Origin Discrimination Involving Religion,2023-12-11
New Jersey,RUTGERS UNIVERSITY,Disability - Academic Adjustments,2023-03-23
New Jersey,RUTGERS UNIVERSITY,Disability - Academic Adjustments,2024-02-05
New Jersey,RUTGERS UNIVERSITY,Disability - Accessibility,2018-09-11
New Jersey,RUTGERS UNIVERSITY,Disability - Denial of Benefits,2023-03-23
New Jersey,RUTGERS UNIVERSITY,Disability - Procedural Requirements,2018-09-11
New Jersey,RUTGERS UNIVERSITY,Disability - Retaliation,2023-08-02
New Jersey,RUTGERS UNIVERSITY,Title VI - Denial of Benefits,2020-06-19
New Jersey,RUTGERS UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,2011-10-26
New Jersey,RUTGERS UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,2020-06-19
New Jersey,RUTGERS UNIVERSITY,Title VI - Retaliation,2024-02-13
New Jersey,RUTGERS UNIVERSITY,Title IX - Denial of Benefits,2020-06-19
New Jersey,RUTGERS UNIVERSITY,Title IX - Single Sex Campus Programs,2023-02-14
New Jersey,RUTGERS UNIVERSITY,Disability - Academic Adjustments,2023-08-02
New Jersey,SUSSEX COUNTY COMMUNITY COLLEGE,Disability - Accessibility - Website/Online Courses,2022-05-23
New Jersey,SETON HALL UNIVERSITY,Title IX - Sexual Violence,2015-07-22
New Jersey,SETON HALL UNIVERSITY,Title IX - Single Sex Scholarships,2021-01-19
New Jersey,SAINT PETER'S UNIVERSITY,Disability - Retaliation,2023-09-28
New Jersey,SAINT PETER'S UNIVERSITY,Age - Discrimination Prohibited,2023-09-28
New Jersey,SAINT PETER'S UNIVERSITY,Age - Retaliation,2023-09-28
New Jersey,SAINT PETER'S UNIVERSITY,Disability - Denial of Benefits,2023-09-28
New Jersey,SUSSEX COUNTY COMMUNITY COLLEGE,Disability - Effective Communication,2022-05-23
New Jersey,WILLIAM PATERSON UNIVERSITY,Title VI - Denial of Benefits,2023-09-28
New Jersey,WILLIAM PATERSON UNIVERSITY,Title VI - Racial Harassment,2023-09-28
New Mexico,EASTERN NEW MEXICO UNIVERSITY-MAIN CAMPUS,Title VI - Denial of Benefits,2023-10-12
New Mexico,NEW MEXICO STATE UNIVERSITY,Disability - Denial of Benefits,2023-01-11
New Mexico,UNIVERSITY OF NEW MEXICO-MAIN CAMPUS,Disability - Academic Adjustments,2023-05-04
New Mexico,UNIVERSITY OF NEW MEXICO-MAIN CAMPUS,Disability - Academic Adjustments,2024-02-01
New Mexico,UNIVERSITY OF NEW MEXICO-MAIN CAMPUS,Disability - Procedural Requirements,2024-02-01
New Mexico,UNIVERSITY OF NEW MEXICO-MAIN CAMPUS,Disability - Retaliation,2023-05-04
New Mexico,UNIVERSITY OF NEW MEXICO-MAIN CAMPUS,Title VI - Denial of Benefits,2022-10-27
New Mexico,UNIVERSITY OF NEW MEXICO-MAIN CAMPUS,Title VI - Denial of Benefits,2024-02-01
New Mexico,UNIVERSITY OF NEW MEXICO-MAIN CAMPUS,Title VI - National Origin Discrimination Involving Religion,2022-10-27
